,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,Pakistan,New Zealand,Pakistan,6 wickets,Karachi,2023-01-09,ODI # 4500
1,India,Sri Lanka,India,67 runs,Guwahati,2023-01-10,ODI # 4501
2,Pakistan,New Zealand,New Zealand,79 runs,Karachi,2023-01-11,ODI # 4502
3,India,Sri Lanka,India,4 wickets,Eden Gardens,2023-01-12,ODI # 4503
4,Pakistan,New Zealand,New Zealand,2 wickets,Karachi,2023-01-13,ODI # 4504
5,India,Sri Lanka,India,317 runs,Thiruvananthapuram,2023-01-15,ODI # 4505
6,Zimbabwe,Ireland,Zimbabwe,3 wickets,Harare,2023-01-18,ODI # 4506
7,India,New Zealand,India,12 runs,Hyderabad,2023-01-18,ODI # 4507
8,Zimbabwe,Ireland,Ireland,46 runs,Harare,2023-01-21,ODI # 4508
9,India,New Zealand,India,8 wickets,Raipur,2023-01-21,ODI # 4509
10,Zimbabwe,Ireland,no result,-,Harare,2023-01-23,ODI # 4510
11,India,New Zealand,India,90 runs,Indore,2023-01-24,ODI # 4511
12,South Africa,England,South Africa,27 runs,Bloemfontein,2023-01-27,ODI # 4512
13,South Africa,England,South Africa,5 wickets,Bloemfontein,2023-01-29,ODI # 4513
14,South Africa,England,England,59 runs,Kimberley,2023-02-01,ODI # 4514
15,Nepal,Namibia,Nepal,2 wickets,Kirtipur,2023-02-14,ODI # 4515
16,Namibia,Scotland,Scotland,10 wickets,Kirtipur,2023-02-15,ODI # 4516
17,Nepal,Scotland,Nepal,3 wickets,Kirtipur,2023-02-17,ODI # 4517
18,Nepal,Namibia,Nepal,3 wickets,Kirtipur,2023-02-18,ODI # 4518
19,Namibia,Scotland,Scotland,43 runs,Kirtipur,2023-02-20,ODI # 4519
20,Nepal,Scotland,Nepal,2 wickets,Kirtipur,2023-02-21,ODI # 4520
21,U.A.E.,Namibia,U.A.E.,1 wicket,Dubai (DSC),2023-02-23,ODI # 4521
22,U.A.E.,Namibia,Namibia,7 wickets,Dubai (DSC),2023-02-25,ODI # 4522
23,Nepal,P.N.G.,Nepal,4 wickets,Dubai (DSC),2023-02-27,ODI # 4523
24,U.A.E.,P.N.G.,P.N.G.,131 runs,Dubai (DSC),2023-02-28,ODI # 4524
25,Bangladesh,England,England,3 wickets,Mirpur,2023-03-01,ODI # 4525
26,U.A.E.,Nepal,U.A.E.,68 runs,Dubai (DSC),2023-03-02,ODI # 4526
27,Nepal,P.N.G.,Nepal,3 wickets,Dubai (DSC),2023-03-03,ODI # 4527
28,Bangladesh,England,England,132 runs,Mirpur,2023-03-03,ODI # 4528
29,U.A.E.,P.N.G.,P.N.G.,5 wickets,Dubai (DSC),2023-03-05,ODI # 4529
30,U.A.E.,Nepal,Nepal,42 runs,Dubai (DSC),2023-03-06,ODI # 4530
31,Bangladesh,England,Bangladesh,50 runs,Chattogram,2023-03-06,ODI # 4531
32,Nepal,P.N.G.,Nepal,52 runs,Kirtipur,2023-03-09,ODI # 4532
33,P.N.G.,U.A.E.,P.N.G.,56 runs,Kirtipur,2023-03-10,ODI # 4533
34,Nepal,U.A.E.,Nepal,177 runs,Kirtipur,2023-03-12,ODI # 4534
35,Nepal,P.N.G.,Nepal,9 wickets,Kirtipur,2023-03-13,ODI # 4535
36,P.N.G.,U.A.E.,U.A.E.,6 wickets,Kirtipur,2023-03-15,ODI # 4536
37,Nepal,U.A.E.,Nepal,9 runs,Kirtipur,2023-03-16,ODI # 4537
38,India,Australia,India,5 wickets,Wankhede,2023-03-17,ODI # 4538
39,Bangladesh,Ireland,Bangladesh,183 runs,Sylhet,2023-03-18,ODI # 4539
40,South Africa,West Indies,West Indies,48 runs,East London,2023-03-18,ODI # 4540
41,India,Australia,Australia,10 wickets,Visakhapatnam,2023-03-19,ODI # 4541
42,Bangladesh,Ireland,no result,-,Sylhet,2023-03-20,ODI # 4542
43,Zimbabwe,Netherlands,Netherlands,3 wickets,Harare,2023-03-21,ODI # 4543
44,South Africa,West Indies,South Africa,4 wickets,Potchefstroom,2023-03-21,ODI # 4544
45,India,Australia,Australia,21 runs,Chennai,2023-03-22,ODI # 4545
46,Zimbabwe,Netherlands,Zimbabwe,1 run,Harare,2023-03-23,ODI # 4546
47,Bangladesh,Ireland,Bangladesh,10 wickets,Sylhet,2023-03-23,ODI # 4547
48,New Zealand,Sri Lanka,New Zealand,198 runs,Auckland,2023-03-25,ODI # 4548
