,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
101,Bangladesh,Pakistan,Bangladesh,37 runs,Abu Dhabi,2018-09-26,ODI # 4047
102,Bangladesh,India,India,3 wickets,Dubai (DSC),2018-09-28,ODI # 4048
103,South Africa,Zimbabwe,South Africa,5 wickets,Kimberley,2018-09-30,ODI # 4049
104,South Africa,Zimbabwe,South Africa,120 runs,Bloemfontein,2018-10-03,ODI # 4050
105,South Africa,Zimbabwe,South Africa,4 wickets,Paarl,2018-10-06,ODI # 4051
106,Sri Lanka,England,no result,-,Dambulla,2018-10-10,ODI # 4052
107,Sri Lanka,England,England,31 runs,Dambulla,2018-10-13,ODI # 4053
108,Sri Lanka,England,England,7 wickets,Pallekele,2018-10-17,ODI # 4054
109,Sri Lanka,England,England,18 runs,Pallekele,2018-10-20,ODI # 4055
110,India,West Indies,India,8 wickets,Guwahati,2018-10-21,ODI # 4056
111,Bangladesh,Zimbabwe,Bangladesh,28 runs,Mirpur,2018-10-21,ODI # 4057
112,Sri Lanka,England,Sri Lanka,219 runs,Colombo (RPS),2018-10-23,ODI # 4058
113,India,West Indies,tied,-,Visakhapatnam,2018-10-24,ODI # 4059
114,Bangladesh,Zimbabwe,Bangladesh,7 wickets,Chattogram,2018-10-24,ODI # 4060
115,Bangladesh,Zimbabwe,Bangladesh,7 wickets,Chattogram,2018-10-26,ODI # 4061
116,India,West Indies,West Indies,43 runs,Pune,2018-10-27,ODI # 4062
117,India,West Indies,India,224 runs,Brabourne,2018-10-29,ODI # 4063
118,India,West Indies,India,9 wickets,Thiruvananthapuram,2018-11-01,ODI # 4064
119,Australia,South Africa,South Africa,6 wickets,Perth,2018-11-04,ODI # 4065
120,New Zealand,Pakistan,New Zealand,47 runs,Abu Dhabi,2018-11-07,ODI # 4066
121,Australia,South Africa,Australia,7 runs,Adelaide,2018-11-09,ODI # 4067
122,New Zealand,Pakistan,Pakistan,6 wickets,Abu Dhabi,2018-11-09,ODI # 4068
123,Australia,South Africa,South Africa,40 runs,Hobart,2018-11-11,ODI # 4069
124,New Zealand,Pakistan,no result,-,Dubai (DSC),2018-11-11,ODI # 4070
125,Bangladesh,West Indies,Bangladesh,5 wickets,Mirpur,2018-12-09,ODI # 4071
126,Bangladesh,West Indies,West Indies,4 wickets,Mirpur,2018-12-11,ODI # 4072
127,Bangladesh,West Indies,Bangladesh,8 wickets,Sylhet,2018-12-14,ODI # 4073
