,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,Australia,Pakistan,Australia,92 runs,Brisbane,2017-01-13,ODI # 3817
1,Australia,Pakistan,Pakistan,6 wickets,Melbourne,2017-01-15,ODI # 3818
2,India,England,India,3 wickets,Pune,2017-01-15,ODI # 3819
3,Australia,Pakistan,Australia,7 wickets,Perth,2017-01-19,ODI # 3820
4,India,England,India,15 runs,Cuttack,2017-01-19,ODI # 3821
5,Australia,Pakistan,Australia,86 runs,Sydney,2017-01-22,ODI # 3822
6,Hong Kong,Scotland,Hong Kong,7 wickets,Abu Dhabi,2017-01-22,ODI # 3823
7,India,England,England,5 runs,Eden Gardens,2017-01-22,ODI # 3824
8,U.A.E.,Scotland,U.A.E.,4 wickets,Dubai (DSC),2017-01-24,ODI # 3825
9,Australia,Pakistan,Australia,57 runs,Adelaide,2017-01-26,ODI # 3826
10,U.A.E.,Hong Kong,U.A.E.,6 wickets,Dubai (DSC),2017-01-26,ODI # 3827
11,South Africa,Sri Lanka,South Africa,8 wickets,Gqeberha,2017-01-28,ODI # 3828
12,New Zealand,Australia,New Zealand,6 runs,Auckland,2017-01-30,ODI # 3829
13,South Africa,Sri Lanka,South Africa,121 runs,Durban,2017-02-01,ODI # 3830
14,South Africa,Sri Lanka,South Africa,7 wickets,Johannesburg,2017-02-04,ODI # 3831
15,New Zealand,Australia,New Zealand,24 runs,Hamilton,2017-02-05,ODI # 3832
16,South Africa,Sri Lanka,South Africa,40 runs,Cape Town,2017-02-07,ODI # 3833
17,South Africa,Sri Lanka,South Africa,88 runs,Centurion,2017-02-10,ODI # 3834
18,Zimbabwe,Afghanistan,Afghanistan,12 runs,Harare,2017-02-16,ODI # 3835
19,New Zealand,South Africa,South Africa,4 wickets,Hamilton,2017-02-19,ODI # 3836
20,Zimbabwe,Afghanistan,Afghanistan,54 runs,Harare,2017-02-19,ODI # 3837
21,Zimbabwe,Afghanistan,Zimbabwe,3 runs,Harare,2017-02-21,ODI # 3838
22,New Zealand,South Africa,New Zealand,6 runs,Christchurch,2017-02-22,ODI # 3839
