,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
23,Zimbabwe,Afghanistan,Zimbabwe,7 wickets,Harare,2017-02-24,ODI # 3840
24,New Zealand,South Africa,South Africa,159 runs,Wellington,2017-02-25,ODI # 3841
25,Zimbabwe,Afghanistan,Afghanistan,106 runs,Harare,2017-02-26,ODI # 3842
26,New Zealand,South Africa,New Zealand,7 wickets,Hamilton,2017-03-01,ODI # 3843
27,U.A.E.,Ireland,Ireland,85 runs,ICCA Dubai,2017-03-02,ODI # 3844
28,West Indies,England,England,45 runs,North Sound,2017-03-03,ODI # 3845
29,New Zealand,South Africa,South Africa,6 wickets,Auckland,2017-03-04,ODI # 3846
30,U.A.E.,Ireland,Ireland,8 wickets,ICCA Dubai,2017-03-04,ODI # 3847
31,West Indies,England,England,4 wickets,North Sound,2017-03-05,ODI # 3848
32,West Indies,England,England,186 runs,Bridgetown,2017-03-09,ODI # 3849
33,Afghanistan,Ireland,Afghanistan,30 runs,Greater Noida,2017-03-15,ODI # 3850
34,Afghanistan,Ireland,Afghanistan,34 runs,Greater Noida,2017-03-17,ODI # 3851
35,Afghanistan,Ireland,Ireland,6 wickets,Greater Noida,2017-03-19,ODI # 3852
36,Afghanistan,Ireland,Ireland,3 wickets,Greater Noida,2017-03-22,ODI # 3853
37,Afghanistan,Ireland,Afghanistan,7 wickets,Greater Noida,2017-03-24,ODI # 3854
38,Sri Lanka,Bangladesh,Bangladesh,90 runs,Dambulla,2017-03-25,ODI # 3855
39,Sri Lanka,Bangladesh,no result,-,Dambulla,2017-03-28,ODI # 3856
40,U.A.E.,P.N.G.,U.A.E.,82 runs,Abu Dhabi,2017-03-31,ODI # 3857
41,Sri Lanka,Bangladesh,Sri Lanka,70 runs,Colombo (SSC),2017-04-01,ODI # 3858
42,U.A.E.,P.N.G.,P.N.G.,26 runs,Abu Dhabi,2017-04-02,ODI # 3859
43,U.A.E.,P.N.G.,U.A.E.,103 runs,Abu Dhabi,2017-04-04,ODI # 3860
44,West Indies,Pakistan,West Indies,4 wickets,Providence,2017-04-07,ODI # 3861
45,West Indies,Pakistan,Pakistan,74 runs,Providence,2017-04-09,ODI # 3862
46,West Indies,Pakistan,Pakistan,6 wickets,Providence,2017-04-11,ODI # 3863
47,England,Ireland,England,7 wickets,Bristol,2017-05-05,ODI # 3864
48,England,Ireland,England,85 runs,Lord's,2017-05-07,ODI # 3865
49,Ireland,Bangladesh,no result,-,Dublin (Malahide),2017-05-12,ODI # 3866
50,Ireland,New Zealand,New Zealand,51 runs,Dublin (Malahide),2017-05-14,ODI # 3867
51,Bangladesh,New Zealand,New Zealand,4 wickets,Dublin,2017-05-17,ODI # 3868
52,Ireland,Bangladesh,Bangladesh,8 wickets,Dublin (Malahide),2017-05-19,ODI # 3869
53,Ireland,New Zealand,New Zealand,190 runs,Dublin (Malahide),2017-05-21,ODI # 3870
54,Bangladesh,New Zealand,Bangladesh,5 wickets,Dublin,2017-05-24,ODI # 3871
55,England,South Africa,England,72 runs,Leeds,2017-05-24,ODI # 3872
56,England,South Africa,England,2 runs,Southampton,2017-05-27,ODI # 3873
57,England,South Africa,South Africa,7 wickets,Lord's,2017-05-29,ODI # 3874
58,England,Bangladesh,England,8 wickets,The Oval,2017-06-01,ODI # 3875
59,Australia,New Zealand,no result,-,Birmingham,2017-06-02,ODI # 3876
60,South Africa,Sri Lanka,South Africa,96 runs,The Oval,2017-06-03,ODI # 3877
61,India,Pakistan,India,124 runs,Birmingham,2017-06-04,ODI # 3878
62,Australia,Bangladesh,no result,-,The Oval,2017-06-05,ODI # 3879
63,England,New Zealand,England,87 runs,Cardiff,2017-06-06,ODI # 3880
64,Pakistan,South Africa,Pakistan,19 runs,Birmingham,2017-06-07,ODI # 3881
65,India,Sri Lanka,Sri Lanka,7 wickets,The Oval,2017-06-08,ODI # 3882
66,Bangladesh,New Zealand,Bangladesh,5 wickets,Cardiff,2017-06-09,ODI # 3883
67,West Indies,Afghanistan,Afghanistan,63 runs,Gros Islet,2017-06-09,ODI # 3884
68,England,Australia,England,40 runs,Birmingham,2017-06-10,ODI # 3885
69,India,South Africa,India,8 wickets,The Oval,2017-06-11,ODI # 3886
70,West Indies,Afghanistan,West Indies,4 wickets,Gros Islet,2017-06-11,ODI # 3887
71,Pakistan,Sri Lanka,Pakistan,3 wickets,Cardiff,2017-06-12,ODI # 3888
72,England,Pakistan,Pakistan,8 wickets,Cardiff,2017-06-14,ODI # 3889
73,West Indies,Afghanistan,no result,-,Gros Islet,2017-06-14,ODI # 3890
74,Bangladesh,India,India,9 wickets,Birmingham,2017-06-15,ODI # 3891
75,Scotland,Zimbabwe,Scotland,26 runs,Edinburgh,2017-06-15,ODI # 3892
76,Scotland,Zimbabwe,Zimbabwe,6 wickets,Edinburgh,2017-06-17,ODI # 3893
77,India,Pakistan,Pakistan,180 runs,The Oval,2017-06-18,ODI # 3894
78,West Indies,India,no result,-,Port of Spain,2017-06-23,ODI # 3895
79,West Indies,India,India,105 runs,Port of Spain,2017-06-25,ODI # 3896
80,Sri Lanka,Zimbabwe,Zimbabwe,6 wickets,Galle,2017-06-30,ODI # 3897
81,West Indies,India,India,93 runs,North Sound,2017-06-30,ODI # 3898
82,Sri Lanka,Zimbabwe,Sri Lanka,7 wickets,Galle,2017-07-02,ODI # 3899
83,West Indies,India,West Indies,11 runs,North Sound,2017-07-02,ODI # 3900
84,Sri Lanka,Zimbabwe,Sri Lanka,8 wickets,Hambantota,2017-07-06,ODI # 3901
85,West Indies,India,India,8 wickets,Kingston,2017-07-06,ODI # 3902
86,Sri Lanka,Zimbabwe,Zimbabwe,4 wickets,Hambantota,2017-07-08,ODI # 3903
87,Sri Lanka,Zimbabwe,Zimbabwe,3 wickets,Hambantota,2017-07-10,ODI # 3904
88,Sri Lanka,India,India,9 wickets,Dambulla,2017-08-20,ODI # 3905
89,Sri Lanka,India,India,3 wickets,Pallekele,2017-08-24,ODI # 3906
90,Sri Lanka,India,India,6 wickets,Pallekele,2017-08-27,ODI # 3907
91,Sri Lanka,India,India,168 runs,Colombo (RPS),2017-08-31,ODI # 3908
92,Sri Lanka,India,India,6 wickets,Colombo (RPS),2017-09-03,ODI # 3909
93,India,Australia,India,26 runs,Chennai,2017-09-17,ODI # 3910
94,England,West Indies,England,7 wickets,Manchester,2017-09-19,ODI # 3911
95,India,Australia,India,50 runs,Eden Gardens,2017-09-21,ODI # 3912
96,England,West Indies,no result,-,Nottingham,2017-09-21,ODI # 3913
97,India,Australia,India,5 wickets,Indore,2017-09-24,ODI # 3914
98,England,West Indies,England,124 runs,Bristol,2017-09-24,ODI # 3915
99,England,West Indies,England,6 runs,The Oval,2017-09-27,ODI # 3916
100,India,Australia,Australia,21 runs,Bengaluru,2017-09-28,ODI # 3917
101,England,West Indies,England,9 wickets,Southampton,2017-09-29,ODI # 3918
102,India,Australia,India,7 wickets,Nagpur,2017-10-01,ODI # 3919
103,P.N.G.,Scotland,Scotland,101 runs,Port Moresby,2017-10-06,ODI # 3920
104,P.N.G.,Scotland,P.N.G.,5 wickets,Port Moresby,2017-10-08,ODI # 3921
105,Pakistan,Sri Lanka,Pakistan,83 runs,Dubai (DSC),2017-10-13,ODI # 3922
106,South Africa,Bangladesh,South Africa,10 wickets,Kimberley,2017-10-15,ODI # 3923
107,Pakistan,Sri Lanka,Pakistan,32 runs,Abu Dhabi,2017-10-16,ODI # 3924
108,South Africa,Bangladesh,South Africa,104 runs,Paarl,2017-10-18,ODI # 3925
109,Pakistan,Sri Lanka,Pakistan,7 wickets,Abu Dhabi,2017-10-18,ODI # 3926
110,Pakistan,Sri Lanka,Pakistan,7 wickets,Sharjah,2017-10-20,ODI # 3927
111,India,New Zealand,New Zealand,6 wickets,Wankhede,2017-10-22,ODI # 3928
112,South Africa,Bangladesh,South Africa,200 runs,East London,2017-10-22,ODI # 3929
113,Pakistan,Sri Lanka,Pakistan,9 wickets,Sharjah,2017-10-23,ODI # 3930
114,India,New Zealand,India,6 wickets,Pune,2017-10-25,ODI # 3931
115,India,New Zealand,India,6 runs,Kanpur,2017-10-29,ODI # 3932
116,P.N.G.,Scotland,Scotland,6 wickets,Dubai (DSC),2017-11-24,ODI # 3933
117,P.N.G.,Scotland,Scotland,4 wickets,Dubai (DSC),2017-11-25,ODI # 3934
118,Afghanistan,Ireland,Afghanistan,138 runs,Sharjah,2017-12-05,ODI # 3935
119,Hong Kong,P.N.G.,Hong Kong,23 runs,ICCA Dubai,2017-12-06,ODI # 3936
120,Afghanistan,Ireland,Ireland,51 runs,Sharjah,2017-12-07,ODI # 3937
121,Hong Kong,P.N.G.,Hong Kong,93 runs,ICCA Dubai,2017-12-08,ODI # 3938
122,India,Sri Lanka,Sri Lanka,7 wickets,Dharamsala,2017-12-10,ODI # 3939
123,Afghanistan,Ireland,Ireland,5 wickets,Sharjah,2017-12-10,ODI # 3940
124,India,Sri Lanka,India,141 runs,Mohali,2017-12-13,ODI # 3941
125,India,Sri Lanka,India,8 wickets,Visakhapatnam,2017-12-17,ODI # 3942
126,New Zealand,West Indies,New Zealand,5 wickets,Whangarei,2017-12-20,ODI # 3943
127,New Zealand,West Indies,New Zealand,204 runs,Christchurch,2017-12-23,ODI # 3944
128,New Zealand,West Indies,New Zealand,66 runs,Christchurch,2017-12-26,ODI # 3945
