,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
28,U.A.E.,P.N.G.,U.A.E.,7 wickets,Sharjah,2022-03-15,ODI # 4367
29,Nepal,P.N.G.,Nepal,2 wickets,Sharjah,2022-03-16,ODI # 4368
30,U.A.E.,Nepal,U.A.E.,48 runs,Dubai (DSC),2022-03-18,ODI # 4369
31,South Africa,Bangladesh,Bangladesh,38 runs,Centurion,2022-03-18,ODI # 4370
32,U.A.E.,P.N.G.,P.N.G.,6 wickets,Dubai (DSC),2022-03-19,ODI # 4371
33,South Africa,Bangladesh,South Africa,7 wickets,Johannesburg,2022-03-20,ODI # 4372
34,U.A.E.,Nepal,U.A.E.,99 runs,Dubai (DSC),2022-03-21,ODI # 4373
35,Nepal,P.N.G.,Nepal,7 wickets,Dubai (DSC),2022-03-22,ODI # 4374
36,South Africa,Bangladesh,Bangladesh,9 wickets,Centurion,2022-03-23,ODI # 4375
37,Nepal,P.N.G.,P.N.G.,6 runs,Kirtipur,2022-03-25,ODI # 4376
38,Nepal,P.N.G.,P.N.G.,3 wickets,Kirtipur,2022-03-26,ODI # 4377
39,New Zealand,Netherlands,New Zealand,7 wickets,Mount Maunganui,2022-03-29,ODI # 4378
40,Pakistan,Australia,Australia,88 runs,Lahore,2022-03-29,ODI # 4379
41,Pakistan,Australia,Pakistan,6 wickets,Lahore,2022-03-31,ODI # 4380
42,New Zealand,Netherlands,New Zealand,118 runs,Hamilton,2022-04-02,ODI # 4381
43,Pakistan,Australia,Pakistan,9 wickets,Lahore,2022-04-02,ODI # 4382
44,New Zealand,Netherlands,New Zealand,115 runs,Hamilton,2022-04-04,ODI # 4383
45,P.N.G.,Scotland,Scotland,162 runs,Dubai (DSC),2022-04-09,ODI # 4384
46,Oman,Scotland,Scotland,4 runs,Dubai (DSC),2022-04-10,ODI # 4385
47,Oman,P.N.G.,Oman,7 wickets,Dubai (DSC),2022-04-12,ODI # 4386
48,P.N.G.,Scotland,Scotland,123 runs,Dubai (DSC),2022-04-13,ODI # 4387
49,Oman,Scotland,Scotland,2 wickets,Dubai (DSC),2022-04-15,ODI # 4388
50,Oman,P.N.G.,Oman,85 runs,Dubai (DSC),2022-04-16,ODI # 4389
51,U.S.A.,Scotland,U.S.A.,104 runs,Pearland,2022-05-28,ODI # 4390
52,U.S.A.,Scotland,Scotland,111 runs,Pearland,2022-05-29,ODI # 4391
53,Netherlands,West Indies,West Indies,7 wickets,Amstelveen,2022-05-31,ODI # 4392
54,Scotland,U.A.E.,Scotland,4 wickets,Pearland,2022-05-31,ODI # 4393
55,U.S.A.,U.A.E.,U.S.A.,4 wickets,Pearland,2022-06-01,ODI # 4394
56,Netherlands,West Indies,West Indies,5 wickets,Amstelveen,2022-06-02,ODI # 4395
57,Scotland,U.A.E.,U.A.E.,5 wickets,Pearland,2022-06-03,ODI # 4396
58,Zimbabwe,Afghanistan,Afghanistan,60 runs,Harare,2022-06-04,ODI # 4397
59,Netherlands,West Indies,West Indies,20 runs,Amstelveen,2022-06-04,ODI # 4398
60,U.S.A.,U.A.E.,U.A.E.,8 wickets,Pearland,2022-06-04,ODI # 4399
61,Zimbabwe,Afghanistan,Afghanistan,8 wickets,Harare,2022-06-06,ODI # 4400
62,Pakistan,West Indies,Pakistan,5 wickets,Multan,2022-06-08,ODI # 4401
63,U.S.A.,Oman,U.S.A.,114 runs,Pearland,2022-06-08,ODI # 4402
64,Zimbabwe,Afghanistan,Afghanistan,4 wickets,Harare,2022-06-09,ODI # 4403
65,Nepal,Oman,Oman,13 runs,Pearland,2022-06-09,ODI # 4404
66,Pakistan,West Indies,Pakistan,120 runs,Multan,2022-06-10,ODI # 4405
67,U.S.A.,Nepal,tied,-,Pearland,2022-06-11,ODI # 4406
68,Pakistan,West Indies,Pakistan,53 runs,Multan,2022-06-12,ODI # 4407
69,U.S.A.,Oman,Oman,13 runs,Pearland,2022-06-12,ODI # 4408
70,Sri Lanka,Australia,Australia,2 wickets,Pallekele,2022-06-14,ODI # 4409
71,Nepal,Oman,Nepal,7 wickets,Pearland,2022-06-14,ODI # 4410
72,U.S.A.,Nepal,U.S.A.,39 runs,Pearland,2022-06-15,ODI # 4411
73,Sri Lanka,Australia,Sri Lanka,26 runs,Pallekele,2022-06-16,ODI # 4412
74,Netherlands,England,England,232 runs,Amstelveen,2022-06-17,ODI # 4413
75,Netherlands,England,England,6 wickets,Amstelveen,2022-06-19,ODI # 4414
76,Sri Lanka,Australia,Sri Lanka,6 wickets,Colombo (RPS),2022-06-19,ODI # 4415
77,Sri Lanka,Australia,Sri Lanka,4 runs,Colombo (RPS),2022-06-21,ODI # 4416
78,Netherlands,England,England,8 wickets,Amstelveen,2022-06-22,ODI # 4417
79,Sri Lanka,Australia,Australia,4 wickets,Colombo (RPS),2022-06-24,ODI # 4418
80,Ireland,New Zealand,New Zealand,1 wicket,Dublin (Malahide),2022-07-10,ODI # 4419
81,Scotland,Namibia,Scotland,77 runs,Glasgow,2022-07-10,ODI # 4420
82,West Indies,Bangladesh,Bangladesh,6 wickets,Providence,2022-07-10,ODI # 4421
83,Namibia,Nepal,Namibia,40 runs,Ayr,2022-07-11,ODI # 4422
84,Ireland,New Zealand,New Zealand,3 wickets,Dublin (Malahide),2022-07-12,ODI # 4423
85,England,India,India,10 wickets,The Oval,2022-07-12,ODI # 4424
86,Scotland,Nepal,Nepal,5 wickets,Glasgow,2022-07-13,ODI # 4425
87,West Indies,Bangladesh,Bangladesh,9 wickets,Providence,2022-07-13,ODI # 4426
88,Scotland,Namibia,Scotland,3 wickets,Glasgow,2022-07-14,ODI # 4427
89,England,India,England,100 runs,Lord's,2022-07-14,ODI # 4428
90,Ireland,New Zealand,New Zealand,1 run,Dublin (Malahide),2022-07-15,ODI # 4429
91,Namibia,Nepal,Namibia,63 runs,Ayr,2022-07-16,ODI # 4430
92,West Indies,Bangladesh,Bangladesh,4 wickets,Providence,2022-07-16,ODI # 4431
93,Scotland,Nepal,Scotland,8 wickets,Glasgow,2022-07-17,ODI # 4432
94,England,India,India,5 wickets,Manchester,2022-07-17,ODI # 4433
95,England,South Africa,South Africa,62 runs,Chester-le-Street,2022-07-19,ODI # 4434
96,England,South Africa,England,118 runs,Manchester,2022-07-22,ODI # 4435
97,West Indies,India,India,3 runs,Port of Spain,2022-07-22,ODI # 4436
98,England,South Africa,no result,-,Leeds,2022-07-24,ODI # 4437
99,West Indies,India,India,2 wickets,Port of Spain,2022-07-24,ODI # 4438
100,West Indies,India,India,119 runs,Port of Spain,2022-07-27,ODI # 4439
101,Scotland,New Zealand,New Zealand,7 wickets,Edinburgh,2022-07-31,ODI # 4440
102,Zimbabwe,Bangladesh,Zimbabwe,5 wickets,Harare,2022-08-05,ODI # 4441
103,Zimbabwe,Bangladesh,Zimbabwe,5 wickets,Harare,2022-08-07,ODI # 4442
104,Zimbabwe,Bangladesh,Bangladesh,105 runs,Harare,2022-08-10,ODI # 4443
105,Scotland,U.A.E.,Scotland,64 runs,Aberdeen,2022-08-10,ODI # 4444
106,U.A.E.,U.S.A.,U.S.A.,1 wicket,Aberdeen,2022-08-11,ODI # 4445
107,Scotland,U.S.A.,Scotland,5 wickets,Aberdeen,2022-08-13,ODI # 4446
108,Scotland,U.A.E.,Scotland,86 runs,Aberdeen,2022-08-14,ODI # 4447
109,Netherlands,Pakistan,Pakistan,16 runs,Rotterdam,2022-08-16,ODI # 4448
110,Scotland,U.S.A.,U.S.A.,2 wickets,Aberdeen,2022-08-17,ODI # 4449
111,West Indies,New Zealand,West Indies,5 wickets,Bridgetown,2022-08-17,ODI # 4450
112,Zimbabwe,India,India,10 wickets,Harare,2022-08-18,ODI # 4451
113,Netherlands,Pakistan,Pakistan,7 wickets,Rotterdam,2022-08-18,ODI # 4452
114,West Indies,New Zealand,New Zealand,50 runs,Bridgetown,2022-08-19,ODI # 4453
115,Zimbabwe,India,India,5 wickets,Harare,2022-08-20,ODI # 4454
116,Netherlands,Pakistan,Pakistan,9 runs,Rotterdam,2022-08-21,ODI # 4455
117,West Indies,New Zealand,New Zealand,5 wickets,Bridgetown,2022-08-21,ODI # 4456
118,Zimbabwe,India,India,13 runs,Harare,2022-08-22,ODI # 4457
119,Australia,Zimbabwe,Australia,5 wickets,Townsville,2022-08-28,ODI # 4458
120,Australia,Zimbabwe,Australia,8 wickets,Townsville,2022-08-31,ODI # 4459
121,Australia,Zimbabwe,Zimbabwe,3 wickets,Townsville,2022-09-03,ODI # 4460
122,Australia,New Zealand,Australia,2 wickets,Cairns,2022-09-06,ODI # 4461
123,Australia,New Zealand,Australia,113 runs,Cairns,2022-09-08,ODI # 4462
124,P.N.G.,U.S.A.,tied,-,Port Moresby,2022-09-11,ODI # 4463
125,Australia,New Zealand,Australia,25 runs,Cairns,2022-09-11,ODI # 4464
126,P.N.G.,U.S.A.,P.N.G.,26 runs,Port Moresby,2022-09-13,ODI # 4465
127,Namibia,U.S.A.,Namibia,79 runs,Port Moresby,2022-09-15,ODI # 4466
128,Namibia,U.S.A.,Namibia,68 runs,Port Moresby,2022-09-17,ODI # 4467
129,P.N.G.,Namibia,Namibia,167 runs,Port Moresby,2022-09-20,ODI # 4468
130,P.N.G.,Namibia,Namibia,61 runs,Port Moresby,2022-09-21,ODI # 4469
131,India,South Africa,South Africa,9 runs,Lucknow,2022-10-06,ODI # 4470
132,India,South Africa,India,7 wickets,Ranchi,2022-10-09,ODI # 4471
133,India,South Africa,India,7 wickets,Delhi,2022-10-11,ODI # 4472
134,Nepal,U.A.E.,U.A.E.,84 runs,Kirtipur,2022-11-14,ODI # 4473
135,Nepal,U.A.E.,Nepal,3 wickets,Kirtipur,2022-11-16,ODI # 4474
136,Australia,England,Australia,6 wickets,Adelaide,2022-11-17,ODI # 4475
137,Nepal,U.A.E.,Nepal,6 wickets,Kirtipur,2022-11-18,ODI # 4476
138,Australia,England,Australia,72 runs,Sydney,2022-11-19,ODI # 4477
139,Namibia,P.N.G.,Namibia,8 wickets,Windhoek,2022-11-19,ODI # 4478
140,Namibia,U.S.A.,U.S.A.,71 runs,Windhoek,2022-11-20,ODI # 4479
141,Australia,England,Australia,221 runs,Melbourne,2022-11-22,ODI # 4480
142,P.N.G.,U.S.A.,U.S.A.,6 wickets,Windhoek,2022-11-22,ODI # 4481
143,Namibia,P.N.G.,Namibia,3 wickets,Windhoek,2022-11-23,ODI # 4482
144,New Zealand,India,New Zealand,7 wickets,Auckland,2022-11-25,ODI # 4483
145,P.N.G.,U.S.A.,U.S.A.,35 runs,Windhoek,2022-11-25,ODI # 4484
146,Sri Lanka,Afghanistan,Afghanistan,60 runs,Pallekele,2022-11-25,ODI # 4485
147,Namibia,U.S.A.,Namibia,6 wickets,Windhoek,2022-11-26,ODI # 4486
148,New Zealand,India,no result,-,Hamilton,2022-11-27,ODI # 4487
149,Sri Lanka,Afghanistan,no result,-,Pallekele,2022-11-27,ODI # 4488
150,New Zealand,India,no result,-,Christchurch,2022-11-30,ODI # 4489
151,Sri Lanka,Afghanistan,Sri Lanka,4 wickets,Pallekele,2022-11-30,ODI # 4490
152,Namibia,Scotland,Scotland,4 wickets,Windhoek,2022-12-01,ODI # 4491
153,Namibia,Nepal,no result,-,Windhoek,2022-12-02,ODI # 4492
154,Bangladesh,India,Bangladesh,1 wicket,Mirpur,2022-12-04,ODI # 4493
155,Nepal,Scotland,Scotland,3 wickets,Windhoek,2022-12-04,ODI # 4494
156,Namibia,Scotland,Namibia,3 wickets,Windhoek,2022-12-05,ODI # 4495
157,Bangladesh,India,Bangladesh,5 runs,Mirpur,2022-12-07,ODI # 4496
158,Namibia,Nepal,Namibia,86 runs,Windhoek,2022-12-07,ODI # 4497
159,Nepal,Scotland,Scotland,8 wickets,Windhoek,2022-12-08,ODI # 4498
160,Bangladesh,India,India,227 runs,Chattogram,2022-12-10,ODI # 4499
