,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,West Indies,Ireland,West Indies,24 runs,Kingston,2022-01-08,ODI # 4339
1,West Indies,Ireland,Ireland,5 wickets,Kingston,2022-01-13,ODI # 4340
2,Sri Lanka,Zimbabwe,Sri Lanka,5 wickets,Pallekele,2022-01-16,ODI # 4341
3,West Indies,Ireland,Ireland,2 wickets,Kingston,2022-01-16,ODI # 4342
4,Sri Lanka,Zimbabwe,Zimbabwe,22 runs,Pallekele,2022-01-18,ODI # 4343
5,South Africa,India,South Africa,31 runs,Paarl,2022-01-19,ODI # 4344
6,Afghanistan,Netherlands,Afghanistan,36 runs,Doha,2022-01-21,ODI # 4345
7,South Africa,India,South Africa,7 wickets,Paarl,2022-01-21,ODI # 4346
8,Sri Lanka,Zimbabwe,Sri Lanka,184 runs,Pallekele,2022-01-21,ODI # 4347
9,Afghanistan,Netherlands,Afghanistan,48 runs,Doha,2022-01-23,ODI # 4348
10,South Africa,India,South Africa,4 runs,Cape Town,2022-01-23,ODI # 4349
11,Afghanistan,Netherlands,Afghanistan,75 runs,Doha,2022-01-25,ODI # 4350
12,Oman,U.A.E.,U.A.E.,4 wickets,Al Amerat,2022-02-05,ODI # 4351
13,Oman,U.A.E.,U.A.E.,4 wickets,Al Amerat,2022-02-06,ODI # 4352
14,India,West Indies,India,6 wickets,Ahmedabad,2022-02-06,ODI # 4353
15,Oman,U.A.E.,tied,-,Al Amerat,2022-02-08,ODI # 4354
16,India,West Indies,India,44 runs,Ahmedabad,2022-02-09,ODI # 4355
17,India,West Indies,India,96 runs,Ahmedabad,2022-02-11,ODI # 4356
18,Bangladesh,Afghanistan,Bangladesh,4 wickets,Chattogram,2022-02-23,ODI # 4357
19,Bangladesh,Afghanistan,Bangladesh,88 runs,Chattogram,2022-02-25,ODI # 4358
20,Bangladesh,Afghanistan,Afghanistan,7 wickets,Chattogram,2022-02-28,ODI # 4359
21,U.A.E.,Oman,Oman,12 runs,ICCA Dubai,2022-03-05,ODI # 4360
22,Namibia,Oman,Namibia,110 runs,ICCA Dubai,2022-03-06,ODI # 4361
23,U.A.E.,Namibia,U.A.E.,3 wickets,ICCA Dubai,2022-03-08,ODI # 4362
24,U.A.E.,Oman,Oman,8 runs,ICCA Dubai,2022-03-09,ODI # 4363
25,Namibia,Oman,Oman,7 wickets,Sharjah,2022-03-11,ODI # 4364
26,U.A.E.,Namibia,U.A.E.,43 runs,Sharjah,2022-03-12,ODI # 4365
27,Namibia,Oman,Namibia,5 wickets,Dubai (DSC),2022-03-14,ODI # 4366
