,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,U.A.E.,Ireland,U.A.E.,6 wickets,Abu Dhabi,2021-01-08,ODI # 4268
1,U.A.E.,Ireland,Ireland,112 runs,Abu Dhabi,2021-01-18,ODI # 4269
2,Bangladesh,West Indies,Bangladesh,6 wickets,Mirpur,2021-01-20,ODI # 4270
3,Afghanistan,Ireland,Afghanistan,16 runs,Abu Dhabi,2021-01-21,ODI # 4271
4,Bangladesh,West Indies,Bangladesh,7 wickets,Mirpur,2021-01-22,ODI # 4272
5,Afghanistan,Ireland,Afghanistan,7 wickets,Abu Dhabi,2021-01-24,ODI # 4273
6,Bangladesh,West Indies,Bangladesh,120 runs,Chattogram,2021-01-25,ODI # 4274
7,Afghanistan,Ireland,Afghanistan,36 runs,Abu Dhabi,2021-01-26,ODI # 4275
8,West Indies,Sri Lanka,West Indies,8 wickets,North Sound,2021-03-10,ODI # 4276
9,West Indies,Sri Lanka,West Indies,5 wickets,North Sound,2021-03-12,ODI # 4277
10,West Indies,Sri Lanka,West Indies,5 wickets,North Sound,2021-03-14,ODI # 4278
11,New Zealand,Bangladesh,New Zealand,8 wickets,Dunedin,2021-03-20,ODI # 4279
12,New Zealand,Bangladesh,New Zealand,5 wickets,Christchurch,2021-03-23,ODI # 4280
13,India,England,India,66 runs,Pune,2021-03-23,ODI # 4281
14,New Zealand,Bangladesh,New Zealand,164 runs,Wellington,2021-03-26,ODI # 4282
15,India,England,England,6 wickets,Pune,2021-03-26,ODI # 4283
16,India,England,India,7 runs,Pune,2021-03-28,ODI # 4284
17,South Africa,Pakistan,Pakistan,3 wickets,Centurion,2021-04-02,ODI # 4285
18,South Africa,Pakistan,South Africa,17 runs,Johannesburg,2021-04-04,ODI # 4286
19,South Africa,Pakistan,Pakistan,28 runs,Centurion,2021-04-07,ODI # 4287
20,Netherlands,Scotland,Netherlands,14 runs,Rotterdam,2021-05-19,ODI # 4288
21,Netherlands,Scotland,Scotland,6 wickets,Rotterdam,2021-05-20,ODI # 4289
22,Bangladesh,Sri Lanka,Bangladesh,33 runs,Mirpur,2021-05-23,ODI # 4290
23,Bangladesh,Sri Lanka,Bangladesh,103 runs,Mirpur,2021-05-25,ODI # 4291
24,Bangladesh,Sri Lanka,Sri Lanka,97 runs,Mirpur,2021-05-28,ODI # 4292
25,Netherlands,Ireland,Netherlands,1 run,Utrecht,2021-06-02,ODI # 4293
26,Netherlands,Ireland,Ireland,8 wickets,Utrecht,2021-06-04,ODI # 4294
27,Netherlands,Ireland,Netherlands,4 wickets,Utrecht,2021-06-07,ODI # 4295
28,England,Sri Lanka,England,5 wickets,Chester-le-Street,2021-06-29,ODI # 4296
29,England,Sri Lanka,England,8 wickets,The Oval,2021-07-01,ODI # 4297
30,England,Sri Lanka,no result,-,Bristol,2021-07-04,ODI # 4298
31,England,Pakistan,England,9 wickets,Cardiff,2021-07-08,ODI # 4299
32,England,Pakistan,England,52 runs,Lord's,2021-07-10,ODI # 4300
33,Ireland,South Africa,no result,-,Dublin (Malahide),2021-07-11,ODI # 4301
34,Ireland,South Africa,Ireland,43 runs,Dublin (Malahide),2021-07-13,ODI # 4302
35,England,Pakistan,England,3 wickets,Birmingham,2021-07-13,ODI # 4303
36,Zimbabwe,Bangladesh,Bangladesh,155 runs,Harare,2021-07-16,ODI # 4304
37,Ireland,South Africa,South Africa,70 runs,Dublin (Malahide),2021-07-16,ODI # 4305
38,Zimbabwe,Bangladesh,Bangladesh,3 wickets,Harare,2021-07-18,ODI # 4306
39,Sri Lanka,India,India,7 wickets,Colombo (RPS),2021-07-18,ODI # 4307
40,Zimbabwe,Bangladesh,Bangladesh,5 wickets,Harare,2021-07-20,ODI # 4308
41,Sri Lanka,India,India,3 wickets,Colombo (RPS),2021-07-20,ODI # 4309
42,West Indies,Australia,Australia,133 runs,Bridgetown,2021-07-20,ODI # 4310
43,West Indies,Australia,West Indies,4 wickets,Bridgetown,"Jul 22-24, 2021",ODI # 4311
44,Sri Lanka,India,Sri Lanka,3 wickets,Colombo (RPS),2021-07-23,ODI # 4312
45,West Indies,Australia,Australia,6 wickets,Bridgetown,2021-07-26,ODI # 4313
46,Sri Lanka,South Africa,Sri Lanka,14 runs,Colombo (RPS),2021-09-02,ODI # 4314
47,Sri Lanka,South Africa,South Africa,67 runs,Colombo (RPS),2021-09-04,ODI # 4315
48,P.N.G.,U.S.A.,U.S.A.,7 wickets,Al Amerat,2021-09-06,ODI # 4316
49,Nepal,P.N.G.,Nepal,2 wickets,Al Amerat,2021-09-07,ODI # 4317
50,Sri Lanka,South Africa,Sri Lanka,78 runs,Colombo (RPS),2021-09-07,ODI # 4318
51,Ireland,Zimbabwe,Zimbabwe,38 runs,Belfast,2021-09-08,ODI # 4319
52,P.N.G.,U.S.A.,U.S.A.,134 runs,Al Amerat,2021-09-09,ODI # 4320
53,Ireland,Zimbabwe,no result,-,Belfast,2021-09-10,ODI # 4321
54,Nepal,P.N.G.,Nepal,151 runs,Al Amerat,2021-09-10,ODI # 4322
55,Ireland,Zimbabwe,Ireland,7 wickets,Belfast,2021-09-13,ODI # 4323
56,Nepal,U.S.A.,Nepal,5 wickets,Al Amerat,2021-09-13,ODI # 4324
57,Oman,Nepal,Oman,5 wickets,Al Amerat,2021-09-14,ODI # 4325
58,Oman,U.S.A.,Oman,4 wickets,Al Amerat,2021-09-16,ODI # 4326
59,Nepal,U.S.A.,U.S.A.,6 wickets,Al Amerat,2021-09-17,ODI # 4327
60,Oman,Nepal,Nepal,7 wickets,Al Amerat,2021-09-19,ODI # 4328
61,Oman,U.S.A.,Oman,72 runs,Al Amerat,2021-09-20,ODI # 4329
62,P.N.G.,Scotland,Scotland,6 wickets,Al Amerat,2021-09-25,ODI # 4330
63,Oman,P.N.G.,Oman,110 runs,Al Amerat,2021-09-26,ODI # 4331
64,Oman,Scotland,Scotland,18 runs,Al Amerat,2021-09-28,ODI # 4332
65,P.N.G.,Scotland,Scotland,4 wickets,Al Amerat,2021-09-29,ODI # 4333
66,Oman,P.N.G.,Oman,3 wickets,Al Amerat,2021-10-01,ODI # 4334
67,Oman,Scotland,no result,-,Al Amerat,2021-10-02,ODI # 4335
68,Namibia,Oman,Namibia,40 runs,Windhoek,2021-11-26,ODI # 4336
69,South Africa,Netherlands,no result,-,Centurion,2021-11-26,ODI # 4337
70,Namibia,Oman,Oman,9 runs,Windhoek,2021-11-27,ODI # 4338
